Country,Diversity,Peace-fulness,Info Empowerment,Governance,Health,Food Security,Literacy Scaled,LE Scaled,Income Scaled,Gini Adjusted Income Index
Afghanistan,0.11,0.35,0.364,0.099,0.157,0,0.38,0.32,0.339,0.225
Albania,0.587,0.699,0.789,0.505,0.745,0.61,0.99,0.855,0.617,0.691
Algeria,0.456,0.54,0.547,0.412,0.683,0.48,0.75,0.802,0.624,0.663
American Samoa,0.396,0.607,0.643,0.696,0.72,0.681,0.99,0.8,0.652,0.652
Andorra,0.704,0.908,0.867,0.844,0.878,0.726,0.99,0.954,0.878,0.944
Angola,0.491,0.644,0.509,0.385,0.32,0.041,0.67,0.367,0.599,0.422
Anguilla,0.66,0.701,0.883,0.806,0.803,0.96,0.99,0.931,0.695,0.831
Antigua & Barbuda,0.704,0.702,0.907,0.787,0.784,0.611,0.98,0.837,0.755,0.65
Argentina,0.678,0.731,0.841,0.434,0.794,0.634,0.98,0.856,0.715,0.679
Armenia,0.584,0.654,0.733,0.489,0.732,0.517,0.99,0.797,0.584,0.588
Aruba,0.704,0.743,0.829,0.794,0.85,0.595,0.98,0.839,0.779,0.779
Australia,0.711,0.876,0.896,0.796,0.849,0.881,0.99,0.947,0.86,0.873
Austria,0.674,0.865,0.928,0.825,0.867,0.771,0.99,0.919,0.861,0.931
Azerbaijan,0.589,0.583,0.651,0.408,0.567,0.681,0.99,0.73,0.651,0.827
Bahamas,0.694,0.656,0.815,0.802,0.765,0.689,0.99,0.802,0.802,0.854
Bahrain,0.445,0.766,0.828,0.656,0.818,0.546,0.91,0.854,0.837,0.833
Bangladesh,0.543,0.595,0.394,0.27,0.555,0.294,0.55,0.711,0.385,0.438
Barbados,0.704,0.662,0.875,0.819,0.805,0.757,0.99,0.841,0.752,0.808
Belarus,0.686,0.525,0.668,0.502,0.86,0.722,0.99,0.76,0.695,0.794
Belgium,0.709,0.877,0.909,0.772,0.867,0.805,0.99,0.916,0.851,0.936
Belize,0.561,0.585,0.648,0.556,0.655,0.531,0.77,0.85,0.618,0.559
Benin,0.369,0.736,0.474,0.526,0.398,0,0.41,0.586,0.386,0.46
Bermuda,0.704,0.762,0.959,0.783,0.87,0.63,0.99,0.918,0.948,0.948
Bhutan,0.44,0.873,0.458,0.72,0.558,0.511,0.53,0.687,0.566,0.515
Bolivia,0.573,0.71,0.648,0.342,0.654,0.157,0.91,0.699,0.548,0.453
Bosnia & Herzegovina,0.55,0.781,0.778,0.402,0.827,0.625,0.97,0.862,0.625,0.677
Botswana,0.637,0.725,0.653,0.778,0.636,0.35,0.83,0.6,0.711,0.604
Brazil,0.584,0.511,0.734,0.522,0.742,0.545,0.9,0.796,0.67,0.599
British Virgin Islands,0.704,0.729,0.901,0.805,0.836,0.849,0.99,0.875,0.862,0.862
Brunei Darussalam,0.562,0.834,0.723,0.815,0.762,0.437,0.95,0.862,0.9,0.9
Bulgaria,0.664,0.745,0.826,0.54,0.865,0.673,0.98,0.809,0.691,0.734
Burkina Faso,0.442,0.758,0.395,0.484,0.37,0.108,0.29,0.468,0.36,0.352
Burundi,0.55,0.47,0.46,0.259,0.417,0,0.66,0.433,0.185,0.318
Cambodia,0.528,0.622,0.5,0.376,0.551,0.387,0.76,0.62,0.427,0.441
Cameroon,0.441,0.586,0.503,0.404,0.461,0.201,0.76,0.467,0.447,0.466
Canada,0.707,0.894,0.879,0.782,0.861,0.777,0.99,0.937,0.86,0.89
Cape Verde,0.55,0.79,0.709,0.718,0.668,0.444,0.84,0.798,0.509,0.439
Cayman Islands,0.704,0.752,0.873,0.798,0.823,0.636,0.99,0.927,0.88,0.88
Central African Republic,0.55,0.503,0.453,0.258,0.436,0.03,0.55,0.394,0.287,0.32
Chad,0.293,0.479,0.354,0.18,0.266,0.072,0.33,0.387,0.394,0.437
Chile,0.601,0.759,0.805,0.764,0.823,0.506,0.97,0.887,0.717,0.632
China,0.61,0.576,0.475,0.548,0.787,0.569,0.93,0.818,0.6,0.573
Colombia,0.658,0.392,0.658,0.321,0.775,0.295,0.93,0.82,0.649,0.548
Comoros,0.44,0.723,0.536,0.368,0.624,0.186,0.75,0.652,0.35,0.199
Democratic Republic of the Congo,0.44,0.4,0.449,0.351,0.46,0,0.67,0.432,0.161,0.229
